1,Fred Bloggs,2/1/48,,1,2
2,John Smith,3/3/50,,3,4
3,Helen Smyth,8/8/48,,4,5
4,Harriet Smithson,9/5/09,9/20/80,5,6
5,James First,10/6/65,,7,7
6,Theo Mengel,12/8/48,,7,1
7,Sue Little,2/21/45,,8,9
8,Harry Forte,2/28/51,,1,8
9,Phil Hot,6/30/42,,2,7
10,Jeff Dawn,12/12/45,,3,6
11,Rose Spring,5/25/48,,4,5
12,Davis Heavan,3/10/75,,5,4
13,Lovely Time,12/28/48,,6,3
14,Alan Fluff,1/15/35,5/15/97,7,2
15,Tony Smythe,2/4/32,,8,1
16,James Quick,8/8/24,,9,2
17,Freda Miles,4/7/20,,9,3
18,Elsie James,6/5/47,,8,5
19,Andy Jones,8/10/58,,7,6
20,Louise Simpson,10/1/48,2/11/98,6,6
21,James Steeple,10/1/47,,5,6
22,Steven Chaytors,11/3/56,,6,7
